Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South)
03/02/2015,11,11,620,398,824,1299,2022,0,1371,0,441,151,183,46,143,1361,962,377,313,989,1686,1195,395,514,348,443,213,175,1275,449,267,107,169,310,485,186,2851,496
03/02/2015,12,23,1553,667,1113,2081,3271,0,2842,0,878,451,399,115,549,1768,1732,580,465,1753,2673,1917,723,1027,715,917,0,289,1627,990,523,285,349,850,861,486,3568,866
03/02/2015,13,39,1644,630,1419,2331,3591,0,3208,0,910,353,383,106,492,1891,2030,632,505,1769,3080,1824,702,1323,730,1061,0,290,1753,929,526,309,378,730,808,453,4113,906
03/02/2015,14,22,763,474,1022,2221,3067,0,2490,0,547,249,266,75,187,1759,1444,493,559,1046,2638,1481,466,800,558,880,0,184,1874,589,547,193,234,388,465,324,3889,610
03/02/2015,15,34,619,527,1256,2171,3076,0,2348,0,634,238,205,76,187,1756,1313,527,403,742,2765,1862,472,847,631,800,0,168,1744,566,459,175,193,254,461,271,4029,549
03/02/2015,16,36,789,916,2369,2159,3039,0,2225,0,1547,415,308,81,299,2261,1563,757,475,638,3300,2614,498,804,757,847,0,138,2000,640,400,287,279,258,468,227,4542,435
03/02/2015,17,56,1363,1743,4048,2290,3056,0,2084,0,2432,539,327,89,588,3125,2725,1570,969,618,3862,3661,696,1035,1174,861,0,219,2976,744,408,445,372,376,780,0,5038,552
03/02/2015,18,27,844,896,1688,2197,2546,0,1371,0,1003,359,287,59,352,2368,1674,974,790,562,2810,2088,423,965,812,982,0,227,2462,709,472,205,252,303,483,0,4046,416
03/02/2015,19,15,475,324,609,1862,1656,0,628,0,293,158,184,45,177,1692,1079,538,369,415,2032,973,272,854,408,969,0,172,1780,643,445,125,207,174,298,0,2899,283
03/02/2015,20,12,330,134,324,1612,1805,0,392,0,120,71,158,40,113,985,798,363,199,302,1534,586,202,751,270,782,0,113,590,539,557,73,126,90,128,0,2317,237
03/02/2015,21,9,253,82,210,1245,1652,0,256,0,104,49,204,49,77,1127,685,300,113,248,1150,442,204,506,201,568,0,72,973,426,479,78,114,77,131,0,1823,223
03/02/2015,22,3,149,71,90,881,703,0,163,0,49,36,53,9,51,1212,418,203,90,172,874,295,77,411,184,403,0,62,1233,345,361,38,75,89,71,0,1393,128
03/02/2015,23,0,95,37,61,543,1136,0,135,0,24,9,38,2,18,321,296,163,34,113,588,198,84,284,46,183,0,40,170,213,183,19,66,38,31,0,1314,51
04/02/2015,0,1,25,13,29,194,252,0,48,0,8,3,21,4,16,144,161,82,30,77,247,39,46,172,29,88,0,26,77,91,92,17,29,10,18,0,484,38
04/02/2015,1,1,16,9,10,122,80,0,29,0,3,4,4,1,2,39,46,35,13,35,71,8,13,110,16,29,0,13,18,63,34,4,16,13,16,0,211,8
04/02/2015,2,0,11,0,9,41,43,0,14,0,4,1,1,0,1,37,25,11,5,39,18,14,20,58,9,19,10,3,8,27,8,5,6,16,4,2,123,6
04/02/2015,3,0,13,1,4,54,32,0,10,0,5,0,2,0,1,31,23,9,7,24,29,6,4,45,5,11,8,3,26,50,11,1,2,0,6,8,126,6
04/02/2015,4,0,3,3,5,14,29,0,23,0,6,2,5,1,0,37,23,31,9,13,49,30,8,38,15,12,15,1,46,27,14,4,6,5,8,5,104,5
04/02/2015,5,0,46,26,91,58,72,0,25,0,54,18,9,3,22,117,130,103,47,40,137,175,34,15,36,15,3,5,106,15,7,15,24,33,13,4,242,19
04/02/2015,6,0,208,180,711,153,152,0,73,0,382,91,69,15,111,298,481,243,236,87,504,690,147,111,239,17,21,22,302,55,29,60,53,87,72,14,543,54
04/02/2015,7,2,815,784,2197,359,466,0,240,0,1351,282,176,35,246,918,1091,558,536,189,1260,1753,442,147,471,62,77,75,928,118,58,186,124,259,214,52,1547,216
04/02/2015,8,16,1934,1740,5322,775,1088,0,526,0,2952,512,261,57,415,1797,2495,1255,781,400,2473,3601,959,290,670,177,114,163,1687,294,169,426,239,553,679,206,3076,735
04/02/2015,9,48,1125,919,2493,730,1159,0,574,0,1279,320,155,12,200,1139,1238,473,389,488,1532,1998,519,289,354,185,106,67,1104,249,172,284,201,397,494,145,2478,579
04/02/2015,10,89,653,428,911,839,1634,0,1017,0,475,185,279,137,124,1251,932,384,262,513,1598,1303,378,351,304,316,200,127,1240,339,221,160,150,311,475,183,2605,602
04/02/2015,11,97,606,407,814,1340,2218,0,1485,0,381,211,148,37,136,1295,958,320,327,607,1797,1189,358,428,307,489,331,129,1279,446,179,133,155,294,441,225,3057,628
04/02/2015,12,50,1583,645,1106,2106,3277,0,2722,0,856,331,295,67,402,1658,1723,495,433,1075,2641,1834,663,1113,512,925,683,199,1660,1018,420,241,260,819,889,410,3760,1058
04/02/2015,13,23,1504,559,1285,2341,3770,0,3308,0,888,316,389,173,416,2031,1885,514,498,1116,3053,1815,676,1247,567,980,614,171,2080,1017,438,233,272,760,934,440,4323,887
04/02/2015,14,21,750,424,959,2262,3122,0,2503,0,509,229,159,60,179,1961,1244,454,440,721,2672,1395,410,836,517,805,39,155,2179,666,377,202,217,337,492,274,3938,488
04/02/2015,15,31,622,507,1216,2123,3029,0,2350,0,589,201,213,69,168,1930,1280,571,397,699,2659,1741,444,1034,597,986,0,161,2097,698,406,206,195,236,506,237,4330,628
04/02/2015,16,25,755,877,2284,2193,3163,0,2426,0,1391,357,216,49,295,2400,1692,789,569,755,3126,2551,520,821,673,761,0,159,2380,662,357,284,291,252,486,180,4666,388
04/02/2015,17,65,1256,1717,3985,2391,3350,0,2297,0,2294,542,330,103,548,3864,2694,1461,984,1195,3886,3594,735,1000,1094,885,0,307,3540,716,399,439,345,391,734,0,5277,557
04/02/2015,18,18,770,800,1826,2166,2654,0,1609,0,993,356,255,57,361,3165,1548,959,867,1492,2930,1932,367,1090,715,1012,0,340,3057,683,389,213,262,269,460,0,4119,452
04/02/2015,19,20,427,307,644,1948,1965,0,689,0,269,126,215,55,183,2343,1236,655,534,1509,2224,1025,223,843,353,919,688,415,2727,691,582,127,154,166,280,0,3097,474
04/02/2015,20,18,210,157,327,1789,1807,0,376,0,116,71,212,32,97,1272,825,366,386,1404,1587,587,176,714,250,839,610,442,870,591,612,74,103,106,222,0,2271,165
04/02/2015,21,14,208,92,236,1306,1534,0,277,0,97,72,170,38,73,966,806,313,193,1066,1427,475,157,506,200,622,551,381,685,461,768,58,109,112,149,0,1849,208
04/02/2015,22,4,154,70,183,906,722,0,170,0,54,43,105,25,41,1266,563,276,138,671,1086,375,121,457,112,465,390,246,1430,376,434,57,79,155,85,0,1626,274
04/02/2015,23,3,86,51,95,561,1186,0,124,0,46,19,51,13,12,329,354,226,45,159,628,171,58,339,99,272,233,64,193,315,235,20,35,56,57,0,1321,94
05/02/2015,0,2,39,11,52,277,242,0,57,0,25,8,12,3,8,134,135,80,19,134,255,73,30,178,35,100,59,27,77,136,99,14,23,16,60,0,501,38
05/02/2015,1,0,10,2,14,140,63,0,28,0,11,4,10,3,4,41,55,13,10,81,72,17,19,115,12,60,39,6,38,83,51,3,10,2,21,0,174,16
05/02/2015,2,0,8,4,9,60,55,0,21,0,3,4,2,1,1,26,26,11,9,43,48,12,11,122,3,29,18,4,18,47,17,0,10,18,65,0,99,14
05/02/2015,3,0,6,1,11,30,34,0,12,0,1,1,4,0,0,19,12,3,9,39,39,21,7,72,2,13,17,0,26,30,7,0,1,11,11,16,67,4
05/02/2015,4,0,19,4,0,27,27,0,13,0,9,1,6,1,0,38,22,34,11,26,30,20,3,41,7,9,14,1,51,27,13,5,5,7,1,13,65,5
05/02/2015,5,0,53,21,95,49,66,0,19,0,52,25,17,2,34,95,108,97,43,71,132,161,30,32,37,11,7,9,112,22,9,15,20,13,8,5,278,22
05/02/2015,6,1,215,173,658,123,190,0,68,0,405,91,83,9,123,339,496,228,188,123,492,723,164,106,186,15,24,29,347,54,34,77,53,86,61,6,663,63
05/02/2015,7,7,788,773,2103,395,518,0,255,0,1320,360,219,46,285,977,1107,588,565,281,1349,1791,466,159,541,68,48,81,962,114,94,202,131,261,235,75,1611,216
05/02/2015,8,16,2056,1863,4869,834,1110,0,535,0,2575,488,318,73,403,1809,2472,1338,805,598,2649,3581,950,294,785,224,140,163,2053,291,191,464,270,543,763,162,3189,754
05/02/2015,9,7,1204,897,2407,846,1200,0,669,0,1252,395,205,37,222,1309,1310,538,307,655,1731,2084,558,305,419,234,147,160,1415,254,163,278,162,508,514,163,2643,628
05/02/2015,10,7,757,477,1076,909,1608,0,1063,0,451,186,154,34,159,1581,868,373,354,795,1598,1365,458,382,331,312,213,176,1714,355,217,201,175,373,512,146,2510,612
05/02/2015,11,13,671,419,924,892,2367,0,1716,0,434,251,156,35,200,1603,1005,414,308,1095,2001,1220,474,539,409,531,305,195,1621,509,279,169,149,307,525,260,2925,659
05/02/2015,12,31,1692,638,1339,2246,3394,0,3042,0,963,523,412,112,658,1989,1824,599,568,1742,2729,2004,729,1166,732,1012,681,316,2011,1041,450,272,363,837,882,424,3980,1019
05/02/2015,13,29,1738,730,1465,2433,3804,0,3550,0,948,417,377,131,619,2184,2028,604,595,1809,3012,1987,690,1247,763,1177,648,323,2276,916,550,309,433,878,877,502,4371,995
05/02/2015,14,28,864,466,1072,2012,3346,0,2621,0,558,298,277,86,294,2141,1532,543,433,997,2694,1626,389,821,630,972,389,225,2246,674,412,219,223,412,466,336,4326,629
05/02/2015,15,27,634,494,1319,2253,3103,0,2373,0,705,207,201,66,220,2167,1460,525,386,747,2719,1913,380,787,692,856,301,210,2242,596,487,217,221,242,533,240,4637,618
05/02/2015,16,36,734,951,2267,2233,3024,0,2306,0,1433,425,239,54,293,2405,1684,799,529,611,3113,2604,536,815,723,872,306,126,2360,596,296,308,231,275,583,151,4560,468
05/02/2015,17,39,1311,1751,3915,2510,3321,0,2344,0,2366,537,382,119,590,3203,2537,1514,925,614,3675,3627,697,951,1141,991,428,180,3036,828,423,398,298,416,783,0,5177,585
05/02/2015,18,30,885,851,1675,2269,2747,0,1906,0,1003,309,363,83,351,2243,1654,894,794,624,2875,1885,386,973,805,1084,583,200,1800,790,523,217,217,320,440,0,4020,463
05/02/2015,19,19,452,333,584,1863,2064,0,1202,0,297,137,259,65,196,1640,1077,492,478,456,2096,965,218,975,463,1192,729,144,1906,713,558,139,137,182,249,0,3217,504
05/02/2015,20,32,328,158,333,1702,1823,0,781,0,141,85,270,53,148,1190,964,396,272,383,1835,595,124,925,423,864,676,111,723,673,838,79,146,89,164,0,2726,228
05/02/2015,21,18,241,121,207,1720,1615,0,418,0,103,76,232,55,91,1044,809,461,166,350,1441,514,141,770,256,797,472,116,495,538,752,79,134,107,130,0,2234,202
05/02/2015,22,5,193,70,139,1148,968,0,196,0,54,54,124,38,52,1039,649,295,95,250,1008,321,104,535,245,569,456,74,1065,444,552,69,74,118,80,0,1763,329
05/02/2015,23,0,145,70,91,847,718,0,157,0,43,33,42,8,30,393,376,231,63,177,805,240,73,470,100,287,256,33,241,364,242,37,74,67,77,0,1546,94
06/02/2015,0,1,66,20,35,347,587,0,93,0,22,12,32,7,11,170,206,99,26,122,330,125,31,302,52,129,101,28,130,243,100,17,37,20,34,0,766,68
06/02/2015,1,1,27,8,22,227,147,0,47,0,4,6,7,0,2,65,65,30,10,69,86,31,11,257,27,88,0,12,52,136,35,4,12,12,11,0,262,42
06/02/2015,2,0,11,7,20,109,75,0,27,0,6,1,5,3,2,47,39,21,2,52,47,23,16,204,10,68,0,9,23,134,12,5,2,10,7,6,166,14
06/02/2015,3,0,10,10,11,111,72,0,15,0,4,4,6,2,2,39,44,15,22,37,57,8,7,161,4,33,40,5,44,115,11,0,7,24,7,14,192,7
06/02/2015,4,0,16,7,8,50,59,0,9,0,10,8,3,1,0,49,31,33,14,22,66,22,2,103,8,15,11,5,68,62,10,11,9,23,7,0,168,4
06/02/2015,5,0,54,20,93,68,77,0,23,0,49,16,9,2,19,99,102,78,58,79,117,155,32,55,56,11,6,14,124,71,12,9,21,12,3,10,307,15
06/02/2015,6,0,214,185,587,155,151,0,69,0,367,98,93,8,123,317,506,241,164,156,503,690,123,90,208,22,20,29,354,39,29,73,53,56,65,16,670,48
06/02/2015,7,2,698,729,2019,325,456,0,201,0,1265,267,172,31,221,956,1110,545,456,362,1154,1726,444,167,454,69,69,82,983,92,96,202,109,191,209,49,1600,209
06/02/2015,8,12,1919,1723,4811,882,1025,0,533,0,2572,440,309,64,427,1755,2252,1195,709,562,2502,3431,974,268,777,226,156,183,2103,262,223,417,233,537,688,154,2979,703
06/02/2015,9,15,1188,822,2380,875,1245,0,710,0,1231,315,180,36,194,1456,1365,543,322,664,1606,1872,545,264,428,262,152,173,1703,291,181,264,180,508,496,152,2454,589
06/02/2015,10,6,756,475,868,953,1817,0,1345,0,466,197,180,27,146,1817,1009,393,292,836,1702,1441,440,370,349,330,32,178,1775,378,203,168,127,297,579,186,2696,482
06/02/2015,11,12,709,440,792,911,2357,0,1880,0,453,207,177,30,196,1804,1214,401,311,1104,2144,1202,417,497,477,536,0,215,1980,427,230,180,205,342,431,197,2958,545
06/02/2015,12,48,1643,631,1198,2143,3626,0,3241,0,985,548,1089,78,642,2188,2017,571,441,1758,2831,2044,673,1155,740,1114,0,332,2302,1173,483,269,302,935,975,363,4144,1114
06/02/2015,13,22,1515,618,1347,2325,3868,0,3523,0,998,459,638,81,569,2333,2204,520,471,1577,3013,1975,683,1225,818,1198,0,249,2255,1156,560,240,321,933,842,386,4679,981
06/02/2015,14,29,778,501,1058,1960,3193,0,2516,0,579,275,1465,43,214,1900,1470,399,325,1161,2580,1549,376,736,607,944,0,198,1149,679,390,165,240,390,453,266,4145,588
06/02/2015,15,27,628,541,1140,2120,3199,0,2321,0,680,224,982,45,189,2080,1448,543,284,862,2806,1798,419,655,596,956,0,198,0,620,379,204,189,289,553,224,4524,484
06/02/2015,16,29,759,939,2270,2240,3145,0,2381,0,1637,403,200,68,360,2400,1701,659,416,787,2966,2567,482,715,851,859,0,188,2361,705,321,264,271,334,531,147,4742,447
06/02/2015,17,50,1146,1554,3371,2514,3653,0,2575,0,2065,528,312,71,459,3522,2610,1340,700,667,3627,3254,605,1027,1089,1103,0,198,3412,864,417,383,333,429,815,0,5369,714
06/02/2015,18,37,834,665,1310,2573,3025,0,2129,0,750,243,319,63,279,2733,1746,765,503,577,2952,1935,378,997,834,1202,0,179,2671,938,552,169,215,398,431,0,4536,466
06/02/2015,19,32,479,306,629,2347,2640,0,1527,0,292,155,421,88,160,2401,1246,523,349,463,2243,1139,249,1071,752,1204,0,146,2789,1032,841,106,172,237,375,0,3914,435
06/02/2015,20,18,402,152,300,2215,2148,0,1281,0,173,95,448,138,167,1946,1173,475,430,418,2074,723,189,1024,666,1242,0,128,1548,1047,1240,86,246,184,276,0,3452,280
06/02/2015,21,18,307,154,243,2326,2083,0,670,0,100,97,534,193,128,2058,1156,475,226,396,1809,566,152,1030,683,1039,0,99,1473,976,1367,84,197,159,242,0,3389,239
06/02/2015,22,9,260,150,198,1900,1547,0,455,0,86,64,409,106,79,1951,1031,466,227,314,1436,417,102,996,512,988,0,94,1792,824,1275,87,177,140,302,0,2861,434
06/02/2015,23,11,191,91,142,1354,1448,0,333,0,58,56,235,79,46,1162,801,450,140,311,1247,370,95,638,418,613,0,94,574,793,1037,65,149,66,330,0,2447,263
07/02/2015,0,5,81,37,71,965,1332,0,249,0,38,41,141,36,22,619,530,319,75,208,853,203,71,571,314,396,0,46,239,529,455,49,73,60,263,0,1876,97
07/02/2015,1,1,53,35,55,533,815,0,176,0,13,15,97,17,14,272,245,114,53,199,372,83,29,425,94,336,0,38,112,397,190,9,22,49,214,0,1037,65
07/02/2015,2,1,21,15,26,331,607,0,66,0,11,5,28,8,4,178,137,75,43,123,217,38,31,326,37,128,0,17,41,258,77,6,8,26,193,2,628,28
07/02/2015,3,0,21,11,19,257,959,0,55,0,12,14,10,1,9,261,134,53,274,100,203,28,36,294,40,72,0,23,72,182,26,5,40,25,162,23,727,23
07/02/2015,4,3,26,10,11,135,462,0,30,0,4,8,13,0,2,100,69,65,64,63,178,35,12,112,21,50,0,8,52,81,13,4,14,7,47,15,513,16
07/02/2015,5,1,29,11,7,86,598,0,28,0,12,4,14,3,5,79,64,69,38,120,68,51,27,102,15,10,0,5,50,60,21,7,6,9,13,8,400,10
07/02/2015,6,2,54,21,20,84,114,0,27,0,48,10,28,2,24,76,80,102,50,143,183,184,42,65,82,13,0,26,89,55,23,20,17,21,19,8,360,29
07/02/2015,7,1,65,33,20,224,187,0,74,0,69,21,47,16,73,183,284,149,180,229,386,374,84,90,257,60,0,67,155,80,41,50,50,35,30,32,552,59
07/02/2015,8,1,138,79,38,414,351,0,193,0,88,44,122,27,116,368,360,195,260,489,677,597,102,130,359,87,0,216,256,176,75,81,63,113,68,53,935,79
07/02/2015,9,2,190,109,75,622,935,0,579,0,77,59,214,35,110,792,634,303,302,758,980,674,168,204,542,200,0,261,840,257,118,55,120,148,152,130,1571,125
07/02/2015,10,6,239,119,94,805,1400,0,1259,0,80,70,178,36,149,1308,915,336,303,1150,1515,844,179,367,803,342,0,344,1225,396,160,69,108,158,198,181,2159,182
07/02/2015,11,20,266,140,106,851,2125,0,1825,0,82,78,242,35,123,1519,1212,488,345,1387,1960,1001,219,437,1013,643,0,377,1462,549,227,99,121,124,207,208,2798,208
07/02/2015,12,19,325,127,111,1834,2761,0,2100,0,71,79,290,78,150,1917,1257,531,327,1688,2076,957,212,677,1221,959,0,372,1886,912,332,85,106,246,239,229,3335,328
07/02/2015,13,27,395,183,110,2344,3093,0,2562,0,112,57,264,81,138,2127,1418,564,375,1652,2335,912,197,726,1261,1094,0,354,2120,828,380,103,149,216,175,217,3719,413
07/02/2015,14,30,318,167,136,2260,3022,0,2733,0,129,54,232,78,156,2252,1501,528,444,1352,2382,992,170,886,1103,1134,0,346,2216,814,404,186,182,173,160,226,3851,289
07/02/2015,15,29,410,136,120,2227,2879,0,2757,0,137,63,305,92,155,2180,1503,555,381,893,2240,943,241,871,1136,1012,0,236,2358,635,537,134,162,220,165,250,3837,274
07/02/2015,16,34,281,144,82,2085,2899,0,2648,0,113,103,389,123,165,2002,1345,521,367,544,2209,980,266,769,1026,977,0,103,1790,701,434,119,158,177,196,200,3678,306
07/02/2015,17,26,331,166,80,2080,2748,0,2070,0,158,157,621,150,182,2097,1285,542,451,405,2116,1063,234,787,928,1065,0,166,1769,752,590,97,189,167,186,0,3658,275
07/02/2015,18,24,451,167,109,2031,2150,0,1402,0,184,202,1470,165,253,2251,1252,420,572,391,1984,1027,186,801,868,1189,0,117,2570,833,763,83,214,266,191,0,3386,288
07/02/2015,19,20,414,123,111,2241,1883,0,684,0,122,112,1138,243,222,2216,1128,456,376,368,1610,852,163,922,648,1157,0,116,3032,827,1168,83,191,219,161,0,3074,363
07/02/2015,20,28,411,134,114,2135,1537,0,440,0,79,55,486,145,96,1984,1036,433,333,326,1330,424,129,831,492,1121,0,126,1718,894,1371,50,191,204,172,0,2595,226
07/02/2015,21,13,248,103,101,1926,1481,0,504,0,127,294,1675,260,264,1785,990,395,464,270,1457,876,174,900,523,983,0,79,1310,795,1601,50,155,111,297,0,2934,248
07/02/2015,22,13,273,132,119,1949,1682,0,418,0,87,119,744,232,105,2104,858,440,273,268,1310,632,151,802,538,885,0,67,2045,913,1547,59,141,130,325,0,3080,424
07/02/2015,23,10,223,91,107,2017,1900,0,402,0,64,101,366,121,54,1359,819,550,188,358,1255,499,114,821,464,655,0,65,967,957,1197,51,135,116,383,0,3031,243
08/02/2015,0,5,108,57,59,1029,1415,0,262,0,49,108,178,62,26,821,564,341,132,181,900,330,85,717,332,457,0,41,397,696,777,41,77,83,328,0,2271,154
08/02/2015,1,2,58,35,49,628,765,0,210,0,8,19,90,29,7,374,293,121,43,156,402,116,56,658,174,395,0,31,139,645,281,15,34,90,312,0,1268,97
08/02/2015,2,2,35,29,48,350,729,0,122,0,23,17,25,8,10,187,202,94,40,151,347,97,42,483,62,159,0,39,125,377,86,12,48,37,207,5,1138,39
08/02/2015,3,1,30,33,21,266,470,0,107,0,16,19,23,2,6,97,128,59,36,86,260,111,62,437,39,117,0,19,56,308,29,5,20,22,202,23,798,10
08/02/2015,4,0,12,9,16,97,159,0,40,0,9,8,14,3,3,83,70,38,13,72,145,61,47,427,37,61,0,10,51,231,21,7,17,15,51,14,511,31
08/02/2015,5,0,21,8,14,61,117,0,41,0,18,11,14,4,7,66,63,32,17,38,126,47,77,205,42,27,0,4,71,109,9,9,11,8,47,21,272,20
08/02/2015,6,0,16,13,20,85,101,0,56,0,15,24,18,6,13,85,63,46,70,46,146,91,38,45,63,16,0,22,107,132,16,26,32,29,20,13,321,27
08/02/2015,7,1,55,19,17,167,175,0,75,0,24,15,49,7,51,153,136,99,143,166,214,276,75,69,153,54,0,54,279,122,35,41,24,38,24,10,482,41
08/02/2015,8,0,75,26,26,302,338,0,165,0,62,27,124,14,82,310,241,170,209,310,462,561,164,129,268,113,0,93,289,125,44,33,53,67,56,25,793,73
08/02/2015,9,3,159,87,46,438,676,0,440,0,76,23,167,51,118,718,518,214,361,543,939,616,182,183,570,189,0,165,746,205,66,75,95,109,74,118,1383,101
08/02/2015,10,3,194,102,62,711,1206,0,952,0,58,63,250,49,165,1299,842,366,412,895,1224,749,242,233,963,302,0,263,1386,326,142,74,146,147,162,94,2029,166
08/02/2015,11,12,236,95,87,1097,2012,0,1610,0,74,71,317,92,187,1895,1036,441,486,1218,1595,826,242,443,1200,528,0,337,1869,404,215,73,113,126,147,175,3013,206
08/02/2015,12,26,321,122,94,1491,2493,0,1904,0,72,59,496,200,238,2335,1145,448,501,1528,1730,944,199,581,1283,824,0,374,2430,650,331,75,169,92,165,260,3500,246
08/02/2015,13,38,236,106,100,1885,2827,0,2335,0,95,54,511,126,198,2482,1344,509,525,1613,2124,895,235,848,1445,1112,0,392,2495,856,571,65,129,111,174,286,3705,243
08/02/2015,14,40,325,110,100,1899,2944,0,2469,0,93,62,520,133,211,2594,1361,606,562,1449,2217,881,187,806,1401,1024,0,326,2631,725,601,99,130,86,152,321,3939,216
08/02/2015,15,35,341,170,102,2161,2772,0,2647,0,107,46,563,139,229,2599,1322,660,600,1131,2145,879,250,776,1573,1022,0,279,2915,671,834,102,183,77,183,301,3809,280
08/02/2015,16,31,293,157,90,1940,2671,0,2306,0,100,56,500,137,221,2313,1175,559,558,786,2432,916,170,715,1264,874,0,161,2606,601,783,99,144,83,149,269,3664,471
08/02/2015,17,27,293,106,92,1872,2202,0,1598,0,124,107,413,118,205,2202,1220,528,426,391,2163,982,257,708,978,944,0,130,2431,627,611,82,119,63,153,0,3382,218
08/02/2015,18,15,287,83,97,1758,1671,0,824,0,109,77,369,104,131,1473,968,396,324,332,1492,831,193,732,641,968,0,121,1388,625,605,114,184,78,112,0,2829,212
08/02/2015,19,12,204,78,91,1536,1210,0,408,0,74,54,277,79,68,1161,813,357,180,294,1439,646,152,734,368,944,0,118,1034,626,740,78,132,72,103,0,2208,359
08/02/2015,20,14,176,67,89,1470,1027,0,292,0,91,67,234,69,65,1334,745,332,164,305,1287,679,102,792,310,843,0,115,1281,634,853,56,131,50,79,0,2109,222
08/02/2015,21,8,191,51,90,1279,926,0,300,0,67,41,178,46,44,1005,806,302,85,284,1123,658,155,576,271,563,0,93,653,418,747,54,81,58,117,0,2007,142
08/02/2015,22,2,63,38,60,943,608,0,187,0,34,39,93,30,34,623,500,265,50,180,847,375,84,352,146,410,0,66,332,404,466,29,80,86,51,0,1531,99
08/02/2015,23,2,58,33,57,496,373,0,82,0,20,14,83,25,15,369,322,212,40,162,486,305,51,220,70,201,0,50,169,317,276,18,43,47,28,0,1372,50
09/02/2015,0,1,18,13,31,228,220,0,42,0,10,14,21,8,12,140,152,81,16,79,239,128,47,173,29,102,0,24,77,233,127,23,18,32,22,0,535,41
09/02/2015,1,1,15,9,18,110,74,0,25,0,1,13,24,8,3,68,58,35,12,66,70,28,15,103,56,48,22,7,41,133,33,1,4,15,3,0,209,11
09/02/2015,2,2,8,1,3,49,60,0,15,0,0,3,16,11,1,45,47,26,8,55,59,13,9,84,10,21,18,7,31,137,18,1,8,17,6,0,129,0
09/02/2015,3,0,8,3,5,57,42,0,6,0,0,3,12,2,2,46,19,5,10,23,49,4,6,62,4,17,9,7,54,163,10,2,1,6,9,7,98,4
09/02/2015,4,0,14,7,8,35,40,0,22,0,7,1,2,2,3,66,33,35,6,24,30,11,8,30,4,22,13,5,73,303,9,5,10,5,4,5,166,7
09/02/2015,5,1,44,25,88,61,54,0,26,0,34,17,8,0,16,103,107,72,35,30,143,121,20,39,51,19,2,4,172,42,23,11,20,15,16,5,257,16
09/02/2015,6,0,216,158,525,140,150,0,63,0,311,63,65,13,105,328,336,181,147,78,488,560,116,88,201,17,20,16,393,62,20,63,44,89,48,10,614,49
09/02/2015,7,5,755,695,2119,416,506,0,236,0,1282,283,192,38,246,1004,1081,595,536,171,1308,1716,461,138,549,122,43,74,1034,122,85,181,158,226,234,58,1593,185
09/02/2015,8,28,1983,1798,4993,993,1106,0,603,0,2253,483,395,95,438,1783,2492,1384,855,426,2670,3638,1055,348,829,228,158,151,2064,267,170,405,348,503,745,164,3349,781
09/02/2015,9,9,1226,877,2450,916,1208,0,725,0,1131,327,185,40,211,1024,1312,547,320,470,1817,2042,562,299,392,213,134,87,1022,276,179,295,172,381,521,181,2500,575
09/02/2015,10,6,701,453,927,915,1750,0,1191,0,368,183,177,33,136,885,945,376,285,494,1623,1318,405,342,338,357,200,133,654,365,203,151,150,322,416,206,2559,647
09/02/2015,11,15,600,364,744,985,2292,0,1574,0,369,222,228,54,154,994,986,404,252,664,1905,1073,388,550,490,589,0,117,821,564,261,147,151,320,488,221,2929,562
09/02/2015,12,39,1637,660,1328,2391,3198,0,2978,0,841,394,497,165,599,1482,1886,637,527,1043,2896,1832,748,1158,713,1068,0,135,1107,1057,492,263,331,761,881,462,3587,1163
09/02/2015,13,32,1711,732,1458,2506,3683,0,3558,0,896,384,490,177,518,1679,2023,652,470,982,3110,1906,751,1245,857,1076,0,141,1270,950,501,291,369,861,736,491,4107,1072
09/02/2015,14,37,758,496,1002,2156,3101,0,2511,0,487,246,205,67,204,1484,1354,564,299,650,2692,1374,471,769,670,935,0,119,1129,660,430,225,244,425,410,276,4155,645
09/02/2015,15,33,675,530,1286,2270,3153,0,2294,0,584,242,252,73,162,1618,1251,523,323,542,2757,1939,446,715,876,943,0,137,1357,590,413,189,209,295,470,265,4576,587
09/02/2015,16,39,721,958,2312,2308,3063,0,2068,0,1445,400,228,65,241,1869,1419,717,429,636,3193,2638,497,792,753,896,0,135,1664,607,400,267,222,287,464,195,4536,500
09/02/2015,17,57,1342,1831,4108,2453,3021,0,1948,0,2362,541,374,79,530,2822,2531,1513,927,630,3596,3709,662,1117,1168,1058,0,204,2549,740,419,437,320,350,770,0,4979,502
09/02/2015,18,19,742,867,1658,2242,2419,0,1325,0,959,335,337,68,352,2121,1516,869,1040,494,2865,2034,409,930,860,967,0,160,1747,715,501,203,238,262,438,0,3778,313
